;desvio_padrão
ID;3246.662197564341
Year_Birth;11.984069456885859
Income;25173.07666090141
Kidhome;0.5383980977345874
Teenhome;0.5445382307698755
Dt_Customer;202 days 02:56:25.066913892
Recency;28.962452808378206
MntWines;336.5973926053715
MntFruits;39.773433764578655
MntMeatProducts;225.7153725117543
MntFishProducts;54.62897940287768
MntSweetProducts;41.28049848785481
MntGoldProds;52.1674389149972
NumDealsPurchases;1.9322375008559616
NumWebPurchases;2.7787141473881087
NumCatalogPurchases;2.923100655539719
NumStorePurchases;3.250958145674417
NumWebVisitsMonth;2.426645009547285
AcceptedCmp3;0.25981306992189157
AcceptedCmp4;0.2627282848535636
AcceptedCmp5;0.2598130699218915
AcceptedCmp1;0.24531597433401
AcceptedCmp2;0.11497560625548155
Complain;0.0963911679444982
Z_CostContact;0.0
Z_Revenue;0.0
Response;0.35627358640848406
aging;11.984069456885832
